"owls","swoop"
"swoop","ing"
"ing","past"
"past","in"
"in","broad"
"broad","daylight"
"daylight","though"
"though","people"
"people","down"
"down","in"
"in","the"
"the","street"
"street","did"
"did","they"
"they","pointed"
"pointed","and"
"and","gazed"
"gazed","open-"
"open-","mouthed"
"mouthed","as"
"as","owl"
"owl","after"
"after","owl"
"owl","sped"
"sped","overhead"
"overhead","most"
"most","of"
"of","them"
"them","had"
"had","never"
"never","seen"
"seen","an"
"an","owl"
"owl","even"
"even","at"
"at","nighttime"
"nighttime","mr."
"mr.","dursley"
"dursley","however"
"however","had"
"had","a"
"a","perfectly"
"perfectly","normal"
"normal","owl-free"
"owl-free","morning"
"morning","he"
"he","yelled"
"yelled","at"
"at","five"
"five","different"
"different","people"
"people","he"
"he","made"
"made","several"
"several","important"
"important","telephone"
"telephone","calls"
"calls","and"
"and","shouted"
"shouted","a"
"a","bit"
"bit","more"
"more","he"
"he","was"
"was","in"
"in","a"
"a","very"
"very","good"
"good","mood"
"mood","until"
"until","lunchtime"
"lunchtime","when"
"when","he"
"he","thought"
"thought","he"
"he","stretch"
"stretch","his"
"his","legs"
"legs","and"
"and","walk"
"walk","across"
"across","the"
"the","road"
"road","to"
"to","buy"
"buy","himself"
"himself","a"
"a","bun"
"bun","from"
"from","the"
"the","bakery"
"bakery","he"
"he","forgotten"
"forgotten","all"
"all","about"
"about","the"
"the","people"
"people","in"
"in","cloaks"
"cloaks","until"
"until","he"
"he","passed"
"passed","a"
"a","group"
"group","of"
"of","them"
"them","next"
"next","to"
"to","the"
"the","baker"
"baker","he"
"he","eyed"
"eyed","them"
"them","angrily"
"angrily","as"
"as","he"
"he","passed"
"passed","he"
"he","did"
"did","n't"
"n't","know"
"know","why"
"why","but"
"but","they"
"they","made"
"made","him"
"him","uneasy"
"uneasy","this"
"this","bunch"
"bunch","were"
"were","whispering"
"whispering","excitedly"
"excitedly","too"
"too","and"
"and","he"
"he","could"
"could","n't"
"n't","see"
"see","a"
"a","single"
"single","collecting"
"collecting","tin"
"tin","it"
"it","was"
"was","on"
"on","his"
"his","way"
"way","back"
"back","past"
"past","them"
"them","clutching"
"clutching","a"
"a","large"
"large","doughnut"
"doughnut","in"
"in","a"
"a","bag"
"bag","that"
"that","he"
"he","caught"
"caught","a"
"a","few"
"few","words"
"words","of"
"of","what"
"what","they"
"they","were"
"were","saying"
"saying","the"
"the","potters"
"potters","that"
"that","right"
"right","that"
"that","what"
"what","i"
"i","heard"
"heard","yes"
"yes","their"
"their","son"
"son","harry"
"harry","mr."
"mr.","dursley"
"dursley","stopped"
"stopped","dead"
"dead","fear"
"fear","flooded"
"flooded","him"
"him","he"
"he","looked"
"looked","back"
"back","at"
"at","the"
"the","whisperers"
"whisperers","as"
"as","if"
"if","he"
"he","wanted"
"wanted","to"
"to","say"
"say","something"
"something","to"
"to","them"
"them","but"
"but","thought"
"thought","better"
"better","of"
"of","it"
"it","he"
"he","dashed"
"dashed","back"
"back","across"
"across","the"
"the","road"
"road","hurried"
"hurried","up"
"up","to"
"to","his"
"his","office"
"office","snapped"
"snapped","at"
"at","his"
"his","secretary"
"secretary","not"
"not","to"
"to","disturb"
"disturb","him"
"him","seized"
"seized","his"
"his","telephone"
"telephone","and"
"and","had"
"had","almost"
"almost","finished"
"finished","dialing"
"dialing","his"
"his","home"
"home","number"
"number","when"
"when","he"
"he","changed"
"changed","his"
"his","mind"
"mind","he"
"he","put"
"put","the"
"the","receiver"
"receiver","back"
"back","down"
"down","and"
"and","stroked"
"stroked","his"
"his","mustache"
"mustache","thinking"
"thinking","no"
"no","he"
"he","was"
"was","being"
"being","stupid"
"stupid","potter"
"potter","was"
"was","n't"
"n't","such"
"such","an"
"an","unusual"
"unusual","name"
"name","he"
"he","was"
"was","sure"
"sure","there"
"there","were"
"were","lots"
"lots","of"
"of","people"
"people","called"
"called","potter"
"potter","who"
"who","had"
"had","a"
"a","son"
"son","called"
"called","harry"
"harry","come"
"come","to"
"to","think"
"think","of"
"of","it"
"it","he"
"he","was"
"was","n't"
"n't","even"
"even","sure"
"sure","his"
"his","nephew"
"nephew","was"
"was","called"
"called","harry"
"harry","he"
"he","never"
"never","even"
"even","seen"
"seen","the"
"the","boy"
"boy","it"
"it","might"
"might","have"
"have","been"
"been","harvey"
"harvey","or"
"or","harold"
"harold","there"
"there","was"
"was","no"
"no","point"
"point","in"
"in","worrying"
"worrying","mrs."
"mrs.","dursley"
"dursley","she"
"she","always"
"always","got"
"got","so"
"so","upset"
"upset","at"
"at","any"
"any","mention"
"mention","of"
"of","her"
"her","sister"
"sister","he"
"he","did"
"did","n't"
"n't","blame"
"blame","her"
"her","if"
"if","he"
"he","had"
"had","a"
"a","sister"
"sister","like"
"like","that"
"that","but"
"but","all"
"all","the"
"the","same"
"same","those"
"those","people"
"people","in"
"in","cloaks"
"cloaks","he"
"he","found"
"found","it"
"it","a"
"a","lot"
"lot","harder"
"harder","to"
"to","concentrate"
"concentrate","on"
"on","drills"
"drills","that"
"that","afternoon"
"afternoon","and"
"and","when"
"when","he"
"he","left"
"left","the"
"the","building"
"building","at"
"at","five"
"five","o'clock"
"o'clock","he"
"he","was"
"was","still"
"still","so"
"so","worried"
"worried","that"
"that","he"
"he","walked"
"walked","straight"
"straight","into"
"into","someone"
"someone","just"
"just","outside"
"outside","the"
"the","door"
"door","sorry"
"sorry","he"
"he","grunted"
"grunted","as"
"as","the"
"the","tiny"
"tiny","old"
"old","man"
"man","stumbled"
"stumbled","and"
"and","almost"
"almost","fell"
"fell","it"
"it","was"
"was","a"
"a","few"
"few","seconds"
"seconds","before"
"before","mr."
"mr.","dursley"
"dursley","realized"
"realized","that"
"that","the"
"the","man"
"man","was"
"was","wearing"
"wearing","a"
"a","violet"
"violet","cloak"
"cloak","he"
"he","did"
"did","n't"
"n't","seem"
"seem","at"
"at","all"
"all","upset"
"upset","at"
"at","being"
"being","almost"
"almost","knocked"
"knocked","to"
"to","the"
"the","ground"
"ground","on"
"on","the"
"the","contrary"
"contrary","his"
"his","face"
"face","split"
"split","into"
"into","a"
"a","wide"
"wide","smile"
"smile","and"
"and","he"
"he","said"
"said","in"
"in","a"
"a","squeaky"
"squeaky","voice"
"voice","that"
"that","made"
"made","passersby"
"passersby","stare"
"stare","do"
"do","n't"
"n't","be"
"be","sorry"
"sorry","my"
"my","dear"
"dear","sir"
"sir","for"
"for","nothing"
"nothing","could"
"could","upset"
"upset","me"
"me","today"
"today","rejoice"
"rejoice","for"
"for","you-know-who"
"you-know-who","has"
"has","gone"
"gone","at"
"at","last"
"last","even"
"even","muggles"
"muggles","like"
"like","yourself"
"yourself","should"
"should","be"
"be","celebrating"
"celebrating","this"
"this","happy"
"happy","happy"
"happy","day"
"day","and"
"and","the"
"the","old"
"old","man"
"man","hugged"
"hugged","mr."
"mr.","dursley"
"dursley","around"
"around","the"
"the","middle"
"middle","and"
"and","walked"
"walked","off"
"off","mr."
"mr.","dursley"
"dursley","stood"
"stood","rooted"
"rooted","to"
"to","the"
"the","spot"
"spot","he"
"he","had"
"had","been"
"been","hugged"
"hugged","by"
"by","a"
"a","complete"
"complete","stranger"
"stranger","he"
"he","also"
"also","thought"
"thought","he"
"he","had"
"had","been"
"been","called"
"called","a"
"a","muggle"
"muggle","whatever"
"whatever","that"
"that","was"
"was","he"
"he","was"
"was","rattled"
"rattled","he"
"he","hurried"
"hurried","to"
"to","his"
"his","car"
"car","and"
"and","set"
"set","off"
"off","for"
"for","home"
"home","hoping"
"hoping","he"
"he","was"
"was","imagining"
"imagining","things"
"things","which"
"which","he"
"he","had"
"had","never"
"never","hoped"
"hoped","before"
"before","because"
"because","he"
"he","did"
"did","n't"
"n't","approve"
"approve","of"
"of","imagination"
"imagination","as"
"as","he"
"he","pulled"
"pulled","into"
"into","the"
"the","driveway"
"driveway","of"
"of","number"
"number","four"
"four","the"
"the","first"
"first","thing"
"thing","he"
"he","saw"
"saw","and"
"and","it"
"it","did"
"did","n't"
"n't","improve"
"improve","his"
"his","mood"
"mood","was"
"was","the"
"the","tabby"
"tabby","cat"
"cat","he"
"he","spotted"
"spotted","that"
"that","morning"
"morning","it"
"it","was"
"was","now"
"now","sitting"
"sitting","on"
"on","his"
"his","garden"
"garden","wall"
"wall","he"
"he","was"
"was","sure"
"sure","it"
"it","was"
"was","the"
"the","same"
"same","one"
"one","it"
"it","had"
"had","the"
"the","same"
"same","markings"
"markings","around"
"around","its"
"its","eyes"
"eyes","shoo"
"shoo","said"
"said","mr."
"mr.","dursley"
"dursley","loudly"
"loudly","the"
"the","cat"
"cat","did"
"did","n't"
"n't","move"
"move","it"
"it","just"
"just","gave"
"gave","him"
"him","a"
"a","stern"
"stern","look"
"look","was"
"was","this"
"this","normal"
"normal","cat"
"cat","behavior"
"behavior","mr."
"mr.","dursley"
"dursley","wondered"
"wondered","trying"
"trying","to"
"to","pull"
"pull","himself"
"himself","together"
"together","he"
"he","let"
"let","himself"
"himself","into"
"into","the"
"the","house"
"house","he"
"he","was"
"was","still"
"still","determined"
"determined","not"
"not","to"
"to","mention"
"mention","anything"
"anything","to"
"to","his"
"his","wife"
"wife","mrs."
"mrs.","dursley"
"dursley","had"
"had","had"
"had","a"
"a","nice"
"nice","normal"
"normal","day"
"day","she"
"she","told"
"told","him"
"him","over"
"over","dinner"
"dinner","all"
"all","about"
"about","mrs."
"mrs.","next"
"next","door"
"door","problems"
"problems","with"
"with","her"
"her","daughter"
"daughter","and"
"and","how"
"how","dudley"
"dudley","had"
"had","learned"
"learned","a"
"a","new"
"new","word"
"word","wo"
"wo","n't"
"n't","mr."
"mr.","dursley"
"dursley","tried"
"tried","to"
"to","act"
"act","normally"
"normally","when"
"when","dudley"
"dudley","had"
"had","been"
"been","put"
"put","to"
"to","bed"
"bed","he"
"he","went"
"went","into"
"into","the"
"the","living"
"living","room"
"room","in"
"in","time"
"time","to"
"to","catch"
"catch","the"
"the","last"
"last","report"
"report","on"
"on","the"
"the","evening"
"evening","news"
"news","and"
"and","finally"
"finally","bird-watchers"
"bird-watchers","everywhere"
"everywhere","have"
"have","reported"
"reported","that"
"that","the"
"the","nation"
"nation","owls"
"owls","have"
"have","been"
"been","behaving"
"behaving","very"
"very","unusually"
"unusually","today"
"today","although"
"although","owls"
"owls","normally"
"normally","hunt"
"hunt","at"
"at","night"
"night","and"
"and","are"
"are","hardly"
"hardly","ever"
"ever","seen"
"seen","in"
"in","daylight"
"daylight","there"
"there","have"
"have","been"
"been","hundreds"
"hundreds","of"
"of","sightings"
"sightings","of"
"of","these"
"these","birds"
"birds","flying"
"flying","in"
"in","every"
"every","direction"
"direction","since"
"since","sunrise"
"sunrise","experts"
"experts","are"
"are","unable"
"unable","to"
"to","explain"
"explain","why"
"why","the"
"the","owls"
"owls","have"
"have","suddenly"
"suddenly","changed"
"changed","their"
"their","sleeping"
"sleeping","pattern"
"pattern","the"
"the","newscaster"
"newscaster","allowed"
"allowed","himself"
"himself","a"
"a","grin"
"grin","most"
"most","mysterious"
"mysterious","and"
"and","now"
"now","over"
"over","to"
"to","jim"
"jim","mcguffin"
"mcguffin","with"
"with","the"
"the","weather"
"weather","going"
"going","to"
"to","be"
"be","any"
"any","more"
"more","showers"
"showers","of"
"of","owls"
"owls","tonight"
"tonight","jim"
"jim","well"
"well","ted"
"ted","said"
"said","the"
"the","weatherman"
"weatherman","i"
"i","do"
"do","n't"
"n't","know"
"know","about"
"about","that"
"that","but"
"but","it"
"it","not"
"not","only"
"only","the"
"the","owls"
"owls","that"
"that","have"
"have","been"
"been","acting"
"acting","oddly"
"oddly","today"
"today","viewers"
"viewers","as"
"as","far"
"far","apart"
"apart","as"
"as","kent"
"kent","yorkshire"
"yorkshire","and"
"and","dundee"
"dundee","have"
"have","been"
"been","phoning"
"phoning","in"
"in","to"
"to","tell"
"tell","me"
"me","that"
"that","instead"
"instead","of"
"of","the"
"the","rain"
"rain","i"
"i","promised"
"promised","yesterday"
"yesterday","they"
"they","had"
"had","a"
"a","downpour"
"downpour","of"
"of","shooting"
"shooting","stars"
"stars","perhaps"
"perhaps","people"
"people","have"
"have","been"
"been","celebrating"
"celebrating","bonfire"
"bonfire","night"
"night","early"
"early","it"
"it","not"
"not","until"
"until","next"
"next","week"
"week","folks"
"folks","but"
"but","i"
"i","can"
"can","promise"
"promise","a"
"a","wet"
"wet","night"
"night","tonight"
"tonight","mr."
"mr.","dursley"
"dursley","sat"
"sat","frozen"
"frozen","in"
"in","his"
"his","armchair"
"armchair","shooting"
"shooting","stars"
"stars","all"
"all","over"
"over","britain"
"britain","owls"
"owls","flying"
"flying","by"
"by","daylight"
"daylight","mysterious"
"mysterious","people"
"people","in"
"in","cloaks"
"cloaks","all"
"all","over"
"over","the"
"the","place"
"place","and"
"and","a"
"a","whisper"
"whisper","a"
"a","whisper"
"whisper","about"
"about","the"
"the","potters"
"potters","mrs."
"mrs.","dursley"
"dursley","came"
"came","into"
"into","the"
"the","living"
"living","room"
"room","carrying"
"carrying","two"
"two","cups"
"cups","of"
"of","tea"
"tea","it"
"it","was"
"was","no"
"no","good"
"good","he"
"he","have"
"have","to"
"to","say"
"say","something"
"something","to"
"to","her"
"her","he"
"he","cleared"
"cleared","his"
"his","throat"
"throat","nervously"
"nervously","er"
"er","petunia"
"petunia","dear"
"dear","you"
"you","have"
"have","n't"
"n't","heard"
"heard","from"
"from","your"
"your","sister"
"sister","lately"
"lately","have"
"have","you"
"you","as"
"as","he"
"he","had"
"had","expected"
"expected","mrs."
"mrs.","dursley"
"dursley","looked"
"looked","shocked"
"shocked","and"
"and","angry"
"angry","after"
"after","all"
"all","they"
"they","normally"
"normally","pretended"
"pretended","she"
"she","did"
"did","n't"
"n't","have"
"have","a"
"a","sister"
"sister","no"
"no","she"
"she","said"
"said","sharply"
"sharply","why"
"why","funny"
"funny","stuff"
"stuff","on"
"on","the"
"the","news"
"news","mr."
"mr.","dursley"
"dursley","mumbled"
"mumbled","owls"
"owls","shooting"
"shooting","stars"
"stars","and"
"and","there"
"there","were"
"were","a"
"a","lot"
"lot","of"
"of","funny-looking"
"funny-looking","people"
"people","in"
"in","town"
"town","today"
"today","so"
"so","snapped"
"snapped","mrs."
"mrs.","dursley"
"dursley","well"
"well","i"
"i","just"
"just","thought"
"thought","maybe"
"maybe","it"
"it","was"
"was","something"
"something","to"
"to","do"
"do","with"
"with","you"
"you","know"
"know","her"
"her","crowd"
"crowd","mrs."
"mrs.","dursley"
"dursley","sipped"
"sipped","her"
"her","tea"
"tea","through"
"through","pursed"
"pursed","lips"
"lips","mr."
"mr.","dursley"
"dursley","wondered"
"wondered","whether"
"whether","he"
"he","dared"
"dared","tell"
"tell","her"
"her","he"
"he","heard"
"heard","the"
"the","name"
"name","potter"
"potter","he"
"he","decided"
"decided","he"
"he","did"
"did","n't"
"n't","dare"
"dare","instead"
"instead","he"
"he","said"
"said","as"
"as","casually"
"casually","as"
"as","he"
"he","could"
"could","their"
"their","son"
"son","he"
"he","be"
"be","about"
"about","dudley"
"dudley","age"
"age","now"
"now","would"
"would","n't"
"n't","he"
"he","i"
"i","suppose"
"suppose","so"
"so","said"
"said","mrs."
"mrs.","dursley"
"dursley","stiffly"
"stiffly","what"
"what","his"
"his","name"
"name","again"
"again","howard"
"howard","is"
"is","n't"
"n't","it"
"it","harry"
"harry","nasty"
"nasty","common"
"common","name"
"name","if"
"if","you"
"you","ask"
"ask","me"
"me","oh"
"oh","yes"
"yes","said"
"said","mr."
"mr.","dursley"
"dursley","his"
"his","heart"
"heart","sinking"
"sinking","horribly"
"horribly","yes"
"yes","i"
"i","quite"
"quite","agree"
"agree","he"
"he","did"
"did","n't"
"n't","say"
"say","another"
"another","word"
"word","on"
"on","the"
"the","subject"
"subject","as"
"as","they"
"they","went"
"went","upstairs"
"upstairs","to"
"to","bed"
"bed","while"
"while","mrs."
"mrs.","dursley"
"dursley","was"
"was","in"
"in","the"
"the","bathroom"
"bathroom","mr."
"mr.","dursley"
"dursley","crept"
"crept","to"
"to","the"
"the","bedroom"
"bedroom","window"
"window","and"
"and","peered"
"peered","down"
"down","into"
"into","the"
"the","front"
"front","garden"
"garden","the"
"the","cat"
"cat","was"
"was","still"
"still","there"
"there","it"
"it","was"
"was","staring"
"staring","down"
"down","privet"
"privet","drive"
"drive","as"
"as","though"
"though","it"
"it","were"
"were","waiting"
